,id,name,year
0,@I0001@,William Shakespeare,1564
1,@I0002@,Mary Arden,1537
2,@I0003@,John Shakespeare,1531
3,@I0004@,Anne Hathaway,1556
4,@I0005@,Susanna Shakespeare,1583
5,@I0006@,Hamnet Shakespeare,1585
6,@I0007@,Judith Shakespeare,1585
7,@I0008@,Joan Shakespeare,1558
8,@I0009@,Margaret Shakespeare,1562
9,@I0010@,Gilbert Shakespeare,1566
10,@I0011@,Joan Shakespeare,1569
11,@I0012@,Anne Shakespeare,1571
12,@I0013@,Richard Shakespeare,1574
13,@I0014@,Edmund Shakespeare,1580
14,@I0015@,Richard Shakespeare,1490
15,@I0016@,Henry Shakespeare,0
16,@I0017@,Margaret ,0
17,@I0018@,Agnes Webbe,0
18,@I0019@,Robert Arden,0
19,@I0020@,John Hall,1575
20,@I0021@,Elizabeth Shakespeare,1608
21,@I0022@,Thomas Nash,1593
22,@I0023@,John Barnard,0
23,@I0024@,Thomas Quiney,1589
24,@I0025@,Shakespeare Quiney,1616
25,@I0026@,Richard Quiney,1618
26,@I0027@,Thomas Quiney,1620
27,@I0028@,Richard Hathaway,0
28,@I0029@,Margaret Wheeler,0
29,@I0030@,Not named Quiney,0
30,@I0031@, Unknown,0
